,leiden
WASP0011282,3
WASP0011285,0
WASP0011287,3
WASP0011288,2
WASP0011292,6
WASP0011294,10
WASP0011295,6
WASP0011296,1
WASP0011297,3
WASP0011298,4
WASP0011299,4
WASP0011300,4
WASP0011301,14
WASP0011303,1
WASP0011304,2
WASP0011307,2
WASP0011309,13
WASP0011311,1
WASP0011314,14
WASP0011319,2
WASP0011320,3
WASP0011322,5
WASP0011324,14
WASP0011325,1
WASP0011328,14
WASP0011330,14
WASP0011331,3
WASP0011332,11
WASP0011333,14
WASP0011334,3
WASP0011335,14
WASP0011336,1
WASP0011337,3
WASP0011339,1
WASP0011343,0
WASP0011345,2
WASP0011346,9
WASP0011347,1
WASP0011348,3
WASP0011352,3
WASP0011353,6
WASP0011354,8
WASP0011355,0
WASP0011356,4
WASP0011357,2
WASP0011359,5
WASP0011361,0
WASP0011362,4
WASP0011364,11
WASP0011365,10
WASP0011367,19
WASP0011369,18
WASP0011370,5
WASP0011371,4
WASP0011372,14
WASP0011373,7
WASP0011377,13
WASP0011378,5
WASP0011379,8
WASP0011381,14
WASP0011382,11
WASP0011384,3
WASP0012002,11
WASP0012005,0
WASP0012007,6
WASP0012008,15
WASP0012009,22
WASP0012011,3
WASP0012012,14
WASP0012013,16
WASP0012016,4
WASP0012017,22
WASP0012018,3
WASP0012022,2
WASP0012023,4
WASP0012025,0
WASP0012026,2
WASP0012029,20
WASP0012030,1
WASP0012031,0
WASP0012032,6
WASP0012035,5
WASP0012037,4
WASP0012038,5
WASP0012039,1
WASP0012040,2
WASP0012041,13
WASP0012043,5
WASP0012045,18
WASP0012046,5
WASP0012047,0
WASP0012048,14
WASP0012051,4
WASP0012052,14
WASP0012053,15
WASP0012054,0
WASP0012057,0
WASP0012058,5
WASP0012059,5
WASP0012061,6
WASP0012063,10
WASP0012066,11
WASP0012067,10
WASP0012071,18
WASP0012073,5
WASP0012074,4
WASP0012075,4
WASP0012076,13
WASP0012077,5
WASP0012078,0
WASP0012079,7
WASP0012080,13
WASP0012081,3
WASP0012083,5
WASP0012087,5
WASP0012088,14
WASP0012089,8
WASP0012090,1
WASP0012091,0
WASP0012093,11
WASP0012094,7
WASP0012095,22
WASP0012096,3
WASP0012097,10
WASP0012098,2
WASP0012100,7
WASP0012101,5
WASP0012102,5
WASP0012103,1
WASP0012104,3
WASP0012105,11
WASP0012106,3
WASP0012107,2
WASP0012108,12
WASP0012109,12
WASP0012110,2
WASP0012112,14
WASP0012113,10
WASP0012114,2
WASP0012115,11
WASP0012117,15
WASP0012120,12
WASP0012121,2
WASP0012123,2
WASP0012125,4
WASP0012126,3
WASP0012127,4
WASP0012129,18
WASP0012130,12
WASP0012132,3
WASP0012134,10
WASP0012136,4
WASP0012137,2
WASP0012138,0
WASP0012139,4
WASP0012141,7
WASP0012142,0
WASP0012145,0
WASP0012146,1
WASP0012147,5
WASP0012149,2
WASP0012151,23
WASP0012153,14
WASP0012154,9
WASP0012155,4
WASP0012160,4
WASP0012161,6
WASP0012162,14
WASP0012163,1
WASP0012167,8
WASP0012168,9
WASP0012170,10
WASP0012171,5
WASP0012172,3
WASP0012175,14
WASP0012176,18
WASP0012177,8
WASP0012178,7
WASP0012179,4
WASP0012180,3
WASP0012181,0
WASP0012182,3
WASP0012183,0
WASP0012184,5
WASP0012185,7
WASP0012190,3
WASP0012193,0
WASP0012194,0
WASP0012195,5
WASP0012196,5
WASP0012197,0
WASP0012199,3
WASP0012201,5
WASP0012203,0
WASP0012204,7
WASP0012205,0
WASP0012206,8
WASP0012210,18
WASP0012212,10
WASP0012214,14
WASP0012216,2
WASP0012219,8
WASP0012222,1
WASP0012223,3
WASP0012224,7
WASP0012227,2
WASP0012230,1
WASP0012232,5
WASP0012233,1
WASP0012234,2
WASP0012236,4
WASP0012238,13
WASP0012239,0
WASP0012240,0
WASP0012241,11
WASP0012242,3
WASP0012244,1
WASP0012245,3
WASP0012246,4
WASP0012249,4
WASP0012250,0
WASP0012256,1
WASP0012257,13
WASP0012258,5
WASP0012259,6
WASP0012260,17
WASP0012265,14
WASP0012266,4
WASP0012267,3
WASP0012270,17
WASP0012271,14
WASP0012273,6
WASP0012275,14
WASP0012276,1
WASP0012277,3
WASP0012279,12
WASP0012281,0
WASP0012282,16
WASP0012283,2
WASP0012284,2
WASP0012286,5
WASP0012287,0
WASP0012288,3
WASP0012290,5
WASP0012292,3
WASP0012293,2
WASP0012294,5
WASP0012296,0
WASP0012299,7
WASP0012302,6
WASP0012303,2
WASP0012306,0
WASP0012307,1
WASP0012308,2
WASP0012309,0
WASP0012310,5
WASP0012311,5
WASP0012312,4
WASP0012313,13
WASP0012314,3
WASP0012316,4
WASP0012317,1
WASP0012318,11
WASP0012319,4
WASP0012320,0
WASP0012321,11
WASP0012322,0
WASP0012323,19
WASP0012324,14
WASP0012326,3
WASP0012327,7
WASP0012329,2
WASP0012334,1
WASP0012336,4
WASP0012338,4
WASP0012339,20
WASP0012340,4
WASP0012342,2
WASP0012343,6
WASP0012347,3
WASP0012348,13
WASP0012351,0
WASP0012352,10
WASP0012353,2
WASP0012355,0
WASP0012357,0
WASP0012358,14
WASP0012362,10
WASP0012363,7
WASP0012364,9
WASP0012370,3
WASP0012371,5
WASP0012372,10
WASP0012373,10
WASP0012376,3
WASP0012377,9
WASP0012378,0
WASP0012380,5
WASP0012381,11
WASP0012384,6
WASP0013001,1
WASP0013004,11
WASP0013005,9
WASP0013009,0
WASP0013011,2
WASP0013013,4
WASP0013014,8
WASP0013016,0
WASP0013017,0
WASP0013018,9
WASP0013022,0
WASP0013024,4
WASP0013025,13
WASP0013026,0
WASP0013027,8
WASP0013028,0
WASP0013029,10
WASP0013032,7
WASP0013033,2
WASP0013036,0
WASP0013037,1
WASP0013039,14
WASP0013040,11
WASP0013042,2
WASP0013043,4
WASP0013045,15
WASP0013046,0
WASP0013048,11
WASP0013049,4
WASP0013052,11
WASP0013053,7
WASP0013054,1
WASP0013055,4
WASP0013056,2
WASP0013057,12
WASP0013058,8
WASP0013061,13
WASP0013062,9
WASP0013063,12
WASP0013065,15
WASP0013066,14
WASP0013067,10
WASP0013069,0
WASP0013070,3
WASP0013071,11
WASP0013074,9
WASP0013075,10
WASP0013076,18
WASP0013077,14
WASP0013079,2
WASP0013081,3
WASP0013083,8
WASP0013084,4
WASP0013086,1
WASP0013089,11
WASP0013091,18
WASP0013092,13
WASP0013093,1
WASP0013094,12
WASP0013097,2
WASP0013098,4
WASP0013100,13
WASP0013101,0
WASP0013102,3
WASP0013103,11
WASP0013104,4
WASP0013106,6
WASP0013108,8
WASP0013109,6
WASP0013111,3
WASP0013112,8
WASP0013113,0
WASP0013115,3
WASP0013116,3
WASP0013117,8
WASP0013119,8
WASP0013121,8
WASP0013122,9
WASP0013124,4
WASP0013125,6
WASP0013126,9
WASP0013128,13
WASP0013129,8
WASP0013132,2
WASP0013135,18
WASP0013140,9
WASP0013142,2
WASP0013145,1
WASP0013146,8
WASP0013147,9
WASP0013148,19
WASP0013150,0
WASP0013151,9
WASP0013152,0
WASP0013153,4
WASP0013154,13
WASP0013155,9
WASP0013158,3
WASP0013159,11
WASP0013162,4
WASP0013164,0
WASP0013166,8
WASP0013167,1
WASP0013168,3
WASP0013170,14
WASP0013171,13
WASP0013172,0
WASP0013173,9
WASP0013174,10
WASP0013177,12
WASP0013178,6
WASP0013182,2
WASP0013183,0
WASP0013184,6
WASP0013187,2
WASP0013188,0
WASP0013189,3
WASP0013191,8
WASP0013195,1
WASP0013196,5
WASP0013203,16
WASP0013204,0
WASP0013205,8
WASP0013206,3
WASP0013208,1
WASP0013209,4
WASP0013210,9
WASP0013212,1
WASP0013216,13
WASP0013217,3
WASP0013219,3
WASP0013220,4
WASP0013221,12
WASP0013233,10
WASP0013235,0
WASP0013237,9
WASP0013238,1
WASP0013241,1
WASP0013245,1
WASP0013246,3
WASP0013247,18
WASP0013248,4
WASP0013249,8
WASP0013255,3
WASP0013257,3
WASP0013258,7
WASP0013261,8
WASP0013264,19
WASP0013265,2
WASP0013266,1
WASP0013270,11
WASP0013272,4
WASP0013273,11
WASP0013274,22
WASP0013275,4
WASP0013276,10
WASP0013277,8
WASP0013278,3
WASP0013283,18
WASP0013286,2
WASP0013287,0
WASP0013288,8
WASP0013290,4
WASP0013294,11
WASP0013295,10
WASP0013298,0
WASP0013299,5
WASP0013300,6
WASP0013302,0
WASP0013303,14
WASP0013304,11
WASP0013305,3
WASP0013309,0
WASP0013311,0
WASP0013312,2
WASP0013316,0
WASP0013318,4
WASP0013319,0
WASP0013320,8
WASP0013322,2
WASP0013324,3
WASP0013325,4
WASP0013326,1
WASP0013328,15
WASP0013330,0
WASP0013332,9
WASP0013333,0
WASP0013334,2
WASP0013335,0
WASP0013338,4
WASP0013342,7
WASP0013343,0
WASP0013347,3
WASP0013348,3
WASP0013350,5
WASP0013351,3
WASP0013353,11
WASP0013354,11
WASP0013355,14
WASP0013357,0
WASP0013358,3
WASP0013359,6
WASP0013360,10
WASP0013361,9
WASP0013363,13
WASP0013364,15
WASP0013365,8
WASP0013367,10
WASP0013374,3
WASP0013375,11
WASP0013378,0
WASP0013379,10
WASP0013380,0
WASP0013381,22
WASP0013383,8
WASP0014002,8
WASP0014003,1
WASP0014004,1
WASP0014005,0
WASP0014006,3
WASP0014007,6
WASP0014013,2
WASP0014017,23
WASP0014020,1
WASP0014021,10
WASP0014022,4
WASP0014023,16
WASP0014025,6
WASP0014026,5
WASP0014027,7
WASP0014028,16
WASP0014030,8
WASP0014031,3
WASP0014034,0
WASP0014037,9
WASP0014038,5
WASP0014042,2
WASP0014044,7
WASP0014045,5
WASP0014046,8
WASP0014047,3
WASP0014050,2
WASP0014051,14
WASP0014052,8
WASP0014053,16
WASP0014055,1
WASP0014056,10
WASP0014063,4
WASP0014064,0
WASP0014066,0
WASP0014068,2
WASP0014071,12
WASP0014074,16
WASP0014075,9
WASP0014077,0
WASP0014079,0
WASP0014080,6
WASP0014081,1
WASP0014084,0
WASP0014086,4
WASP0014087,1
WASP0014089,1
WASP0014092,7
WASP0014093,10
WASP0014094,6
WASP0014098,8
WASP0014100,0
WASP0014101,21
WASP0014102,11
WASP0014103,7
WASP0014104,16
WASP0014105,5
WASP0014106,7
WASP0014107,11
WASP0014109,9
WASP0014110,5
WASP0014115,21
WASP0014116,0
WASP0014117,7
WASP0014118,17
WASP0014119,9
WASP0014120,5
WASP0014121,3
WASP0014124,3
WASP0014126,6
WASP0014128,0
WASP0014129,3
WASP0014130,5
WASP0014134,8
WASP0014135,18
WASP0014136,0
WASP0014137,4
WASP0014139,14
WASP0014140,11
WASP0014144,4
WASP0014145,7
WASP0014146,1
WASP0014149,6
WASP0014151,1
WASP0014156,0
WASP0014159,0
WASP0014161,16
WASP0014162,3
WASP0014163,0
WASP0014165,13
WASP0014169,5
WASP0014171,0
WASP0014176,0
WASP0014177,6
WASP0014180,2
WASP0014186,0
WASP0014188,1
WASP0014189,9
WASP0014191,13
WASP0014194,1
WASP0014195,4
WASP0014197,0
WASP0014199,3
WASP0014200,7
WASP0014201,11
WASP0014202,0
WASP0014203,0
WASP0014204,0
WASP0014205,3
WASP0014206,0
WASP0014208,0
WASP0014209,13
WASP0014211,14
WASP0014213,6
WASP0014215,2
WASP0014217,0
WASP0014219,5
WASP0014221,6
WASP0014223,16
WASP0014229,0
WASP0014234,6
WASP0014236,9
WASP0014239,0
WASP0014240,17
WASP0014248,10
WASP0014249,1
WASP0014250,0
WASP0014255,0
WASP0014256,0
WASP0014257,4
WASP0014259,8
WASP0014260,11
WASP0014262,5
WASP0014263,9
WASP0014265,9
WASP0014268,3
WASP0014270,13
WASP0014272,1
WASP0014273,1
WASP0014275,7
WASP0014276,2
WASP0014277,10
WASP0014278,3
WASP0014279,2
WASP0014281,9
WASP0014283,0
WASP0014284,6
WASP0014285,13
WASP0014286,0
WASP0014290,8
WASP0014293,0
WASP0014295,0
WASP0014297,5
WASP0014298,0
WASP0014299,13
WASP0014301,0
WASP0014302,15
WASP0014303,7
WASP0014305,1
WASP0014307,6
WASP0014314,11
WASP0014315,3
WASP0014317,0
WASP0014318,7
WASP0014321,5
WASP0014322,0
WASP0014324,7
WASP0014329,1
WASP0014330,0
WASP0014333,0
WASP0014334,8
WASP0014337,18
WASP0014339,10
WASP0014343,19
WASP0014345,7
WASP0014346,9
WASP0014347,0
WASP0014349,7
WASP0014350,18
WASP0014355,2
WASP0014357,8
WASP0014360,2
WASP0014361,0
WASP0014362,7
WASP0014363,2
WASP0014364,13
WASP0014367,3
WASP0014368,1
WASP0014374,0
WASP0014375,6
WASP0014376,3
WASP0014377,6
WASP0014378,9
WASP0014380,8
WASP0014381,6
WASP0014382,16
WASP0014383,3
WASP0014384,8
WASP0015004,1
WASP0015005,9
WASP0015006,0
WASP0015009,3
WASP0015021,0
WASP0015025,6
WASP0015026,1
WASP0015031,9
WASP0015035,5
WASP0015036,0
WASP0015038,0
WASP0015039,1
WASP0015040,1
WASP0015042,10
WASP0015044,0
WASP0015045,6
WASP0015047,0
WASP0015053,0
WASP0015056,13
WASP0015062,2
WASP0015066,3
WASP0015071,4
WASP0015072,6
WASP0015078,3
WASP0015080,7
WASP0015083,5
WASP0015086,11
WASP0015089,4
WASP0015091,11
WASP0015092,4
WASP0015093,1
WASP0015096,4
WASP0015098,0
WASP0015099,0
WASP0015102,17
WASP0015108,1
WASP0015111,0
WASP0015112,6
WASP0015114,0
WASP0015116,4
WASP0015119,1
WASP0015120,0
WASP0015122,12
WASP0015127,1
WASP0015128,0
WASP0015129,13
WASP0015130,1
WASP0015132,0
WASP0015134,7
WASP0015139,4
WASP0015142,6
WASP0015143,14
WASP0015145,1
WASP0015149,8
WASP0015151,0
WASP0015152,1
WASP0015155,9
WASP0015158,6
WASP0015159,15
WASP0015160,0
WASP0015161,1
WASP0015162,1
WASP0015164,1
WASP0015167,19
WASP0015168,1
WASP0015170,1
WASP0015171,0
WASP0015174,1
WASP0015175,1
WASP0015176,8
WASP0015179,1
WASP0015185,3
WASP0015186,0
WASP0015198,13
WASP0015201,1
WASP0015205,1
WASP0015206,3
WASP0015209,11
WASP0015214,2
WASP0015218,9
WASP0015221,12
WASP0015224,5
WASP0015226,6
WASP0015227,0
WASP0015230,3
WASP0015232,5
WASP0015233,1
WASP0015234,6
WASP0015235,0
WASP0015236,5
WASP0015240,13
WASP0015241,0
WASP0015244,0
WASP0015249,2
WASP0015250,9
WASP0015255,3
WASP0015256,1
WASP0015259,4
WASP0015268,5
WASP0015269,1
WASP0015271,0
WASP0015278,2
WASP0015279,5
WASP0015282,1
WASP0015283,3
WASP0015284,6
WASP0015285,15
WASP0015286,0
WASP0015288,16
WASP0015290,4
WASP0015294,2
WASP0015298,1
WASP0015299,13
WASP0015301,1
WASP0015302,5
WASP0015303,11
WASP0015305,9
WASP0015306,6
WASP0015312,0
WASP0015313,0
WASP0015315,8
WASP0015317,11
WASP0015320,16
WASP0015322,1
WASP0015324,3
WASP0015326,0
WASP0015327,9
WASP0015330,7
WASP0015331,6
WASP0015333,9
WASP0015334,12
WASP0015335,0
WASP0015340,0
WASP0015342,0
WASP0015347,9
WASP0015348,8
WASP0015349,11
WASP0015351,6
WASP0015352,0
WASP0015355,5
WASP0015362,0
WASP0015364,5
WASP0015369,12
WASP0015373,1
WASP0015379,6
WASP0015383,7
WASP0016003,13
WASP0016004,0
WASP0016005,8
WASP0016009,5
WASP0016012,10
WASP0016016,4
WASP0016017,5
WASP0016018,0
WASP0016024,4
WASP0016025,3
WASP0016029,0
WASP0016030,12
WASP0016032,0
WASP0016033,0
WASP0016035,15
WASP0016036,2
WASP0016039,0
WASP0016040,1
WASP0016043,14
WASP0016045,11
WASP0016049,0
WASP0016051,0
WASP0016053,6
WASP0016055,0
WASP0016056,0
WASP0016063,8
WASP0016064,3
WASP0016065,11
WASP0016068,0
WASP0016069,0
WASP0016070,12
WASP0016076,1
WASP0016083,0
WASP0016098,0
WASP0016100,15
WASP0016101,12
WASP0016104,1
WASP0016108,0
WASP0016109,2
WASP0016114,12
WASP0016117,8
WASP0016119,1
WASP0016120,6
WASP0016123,0
WASP0016124,1
WASP0016125,7
WASP0016126,4
WASP0016128,4
WASP0016129,6
WASP0016130,2
WASP0016135,1
WASP0016139,0
WASP0016140,0
WASP0016142,0
WASP0016144,0
WASP0016146,1
WASP0016149,5
WASP0016150,13
WASP0016152,5
WASP0016154,0
WASP0016155,6
WASP0016160,1
WASP0016162,0
WASP0016164,0
WASP0016165,0
WASP0016171,3
WASP0016175,0
WASP0016177,0
WASP0016179,11
WASP0016180,0
WASP0016187,19
WASP0016192,13
WASP0016194,1
WASP0016196,0
WASP0016197,5
WASP0016198,2
WASP0016206,0
WASP0016209,0
WASP0016210,10
WASP0016211,14
WASP0016214,3
WASP0016217,5
WASP0016220,7
WASP0016222,7
WASP0016223,0
WASP0016227,13
WASP0016234,1
WASP0016238,9
WASP0016239,0
WASP0016241,0
WASP0016247,1
WASP0016266,11
WASP0016268,10
WASP0016271,5
WASP0016277,8
WASP0016286,8
WASP0016290,2
WASP0016291,1
WASP0016293,0
WASP0016296,1
WASP0016297,7
WASP0016308,0
WASP0016312,2
WASP0016313,1
WASP0016314,0
WASP0016317,1
WASP0016322,0
WASP0016323,0
WASP0016324,5
WASP0016325,8
WASP0016326,7
WASP0016327,1
WASP0016331,6
WASP0016334,5
WASP0016336,0
WASP0016340,12
WASP0016341,4
WASP0016343,1
WASP0016347,5
WASP0016348,11
WASP0016349,1
WASP0016350,2
WASP0016351,9
WASP0016360,0
WASP0016361,0
WASP0016364,0
WASP0016369,1
WASP0016370,7
WASP0016383,14
